titulo;estado;fecha;solicitud
Comprimido de producto aditivo para su dosificación automática a envases en la industria alimentaria;Vigente;1/10/2005;Modelo de utilidad
"Mejoras introducidas en la patente de invención P200202907 por 'Suministrador-dosificador de comprimidos a envases para la industria alimentaria'";Vigente;16/1/2008;Patente nacional española
"Dispositivo de amarre para hojas oscilantes en puertas, ventanas y similares";Vigente;6/7/2009;Patente nacional española
Método de obtención de nanopartículas de plata;Vigente;8/7/2009;Patente nacional española
"Bisagra para puertas, ventanas y similares";Vigente;16/9/2009;Patente nacional española
Dispositivo para compresión de aditivos alimentarios en polvo;Vigente;18/2/2010;Patente nacional española
Dispositivo de absorción acústica;Vigente;3/3/2010;Patente nacional española
Sistema de depuración de aguas contaminadas con metales pesados;Vigente;8/3/2010;Patente nacional española
Techo con absorción acústica variable;Vigente;26/7/2010;Patente nacional española
Método y dispositivo para la eliminación parcial del ácido isocianúrico en el agua de piscinas;Vigente;3/5/2011;Patente nacional española
"Aparato para acondicionar material particulado mediante mezcla, humectación y secado";Vigente;13/12/2011;Patente nacional española
Colector eólico modular de cornisa;Vigente;5/3/2012;Patente nacional española
Dispositivo de progresión y aseguramiento para escalada;Vigente;3/8/2012;Patente nacional española
Dispositivo de visualización de formas tridimensionales;Vigente;13/9/2012;Patente nacional española
Bloque cerámico de arcilla aligerada;Vigente;24/9/2012;Patente nacional española
Sensor fotovoltaico multicelular y procedimiento de orientación;Vigente;24/9/2012;Patente nacional española
Dispositivo hiper-hipo sustentador para la región de la raíz de una pala de aerogenerador;Vigente;6/5/2013;Patente nacional española
Dispositivo de baliza salvapájaros para líneas eléctricas generador de energía eléctrica renovable que inyecta directamente en el cable que lo soporta;Vigente;7/6/2013;Patente nacional española
Procedimiento y dispositivo generador asíncrono para la generación de energía hidroeléctrica;Vigente;10/7/2013;Patente nacional española
Aeroturbina de eje vertical de arrastre y admisión variable;Vigente;15/7/2013;Patente nacional española
Aditivos electroconductores para pintura de marcas viales;Vigente;9/9/2013;Patente nacional española
Perfil aerodinámico con sustentación híbrida para una pala de aerogenerador;Vigente;10/10/2013;Patente nacional española
Sistema para la mejora del curvado de tubos;Vigente;10/10/2013;Patente nacional española
Condensador electrostático dinámico;Vigente;6/11/2013;Patente nacional española
Dispositivo aerogenerador de movimiento alternativo de vaivén;Vigente;10/12/2013;Patente nacional española
Dispositivo anti-hielo automático para marcas viales;Vigente;13/1/2014;Patente nacional española
Sistema de alimentación ininterrumpida controlada;Vigente;22/1/2014;Patente nacional española
Dispositivo de puesta a tierra a través de un árbol;Vigente;11/2/2014;Patente nacional española
MÉTODO NÃO DESTRUTIVO E DISPOSITIVO PARA CALCULAR O VIGOR E A EXPRESSÃO VEGETATIVA DAS VIDEIRAS E SUAS APLICAÇÕES;Vigente;15/4/2014;Patente internacional: otros
